,Año,Trimestre,Provincia,ADSL,Fibra óptica,adsl trimestre anterior,KPI disminucion ADSL,fibra optica trimestre anterior,KPI aumento Fibra Optica
936,2014,1,Buenos Aires,1567685.0,120960.0,,,,
912,2014,2,Buenos Aires,1568881.0,120008.0,1567685.0,-0.08,120960.0,-0.79
888,2014,3,Buenos Aires,1562533.0,124474.0,1568881.0,0.4,120008.0,3.59
864,2014,4,Buenos Aires,1575978.0,120528.0,1562533.0,-0.86,124474.0,-3.27
840,2015,1,Buenos Aires,1583135.0,134177.0,1575978.0,-0.45,120528.0,10.17
816,2015,2,Buenos Aires,1581770.0,115660.0,1583135.0,0.09,134177.0,-16.01
792,2015,3,Buenos Aires,1585467.0,113590.0,1581770.0,-0.23,115660.0,-1.82
768,2015,4,Buenos Aires,1586343.0,103269.0,1585467.0,-0.06,113590.0,-9.99
744,2016,1,Buenos Aires,1583560.0,111231.0,1586343.0,0.18,103269.0,7.16
720,2016,2,Buenos Aires,1579448.0,113070.0,1583560.0,0.26,111231.0,1.63
696,2016,3,Buenos Aires,1574216.0,113463.0,1579448.0,0.33,113070.0,0.35
672,2016,4,Buenos Aires,1563542.0,118747.0,1574216.0,0.68,113463.0,4.45
648,2017,1,Buenos Aires,1559178.0,118839.0,1563542.0,0.28,118747.0,0.08
624,2017,2,Buenos Aires,1378549.0,119132.0,1559178.0,11.58,118839.0,0.25
600,2017,3,Buenos Aires,1288025.0,124920.0,1378549.0,6.57,119132.0,4.63
576,2017,4,Buenos Aires,1241172.0,131181.0,1288025.0,3.64,124920.0,4.77
552,2018,1,Buenos Aires,1452061.0,133928.0,1241172.0,-16.99,131181.0,2.05
528,2018,2,Buenos Aires,1450203.0,143626.0,1452061.0,0.13,133928.0,6.75
504,2018,3,Buenos Aires,1435856.0,156382.0,1450203.0,0.99,143626.0,8.16
480,2018,4,Buenos Aires,1305576.0,296102.0,1435856.0,9.07,156382.0,47.19
456,2019,1,Buenos Aires,1304507.0,336362.0,1305576.0,0.08,296102.0,11.97
432,2019,2,Buenos Aires,1284658.0,382971.0,1304507.0,1.52,336362.0,12.17
408,2019,3,Buenos Aires,1277249.0,425386.0,1284658.0,0.58,382971.0,9.97
384,2019,4,Buenos Aires,720011.0,669194.0,1277249.0,43.63,425386.0,36.43
360,2020,1,Buenos Aires,673237.0,720688.0,720011.0,6.5,669194.0,7.15
336,2020,2,Buenos Aires,661272.0,723072.0,673237.0,1.78,720688.0,0.33
312,2020,3,Buenos Aires,653930.0,749087.0,661272.0,1.11,723072.0,3.47
288,2020,4,Buenos Aires,635651.0,804991.0,653930.0,2.8,749087.0,6.94
264,2021,1,Buenos Aires,629679.0,821597.0,635651.0,0.94,804991.0,2.02
240,2021,2,Buenos Aires,603255.0,854173.0,629679.0,4.2,821597.0,3.81
216,2021,3,Buenos Aires,585729.0,885613.0,603255.0,2.91,854173.0,3.55
192,2021,4,Buenos Aires,426325.0,1176024.0,585729.0,27.21,885613.0,24.69
168,2022,1,Buenos Aires,392045.0,1242121.0,426325.0,8.04,1176024.0,5.32
144,2022,2,Buenos Aires,350652.0,1399043.0,392045.0,10.56,1242121.0,11.22
120,2022,3,Buenos Aires,339648.0,1436433.0,350652.0,3.14,1399043.0,2.6
96,2022,4,Buenos Aires,325908.0,1499149.0,339648.0,4.05,1436433.0,4.18
72,2023,1,Buenos Aires,304583.0,1551074.0,325908.0,6.54,1499149.0,3.35
48,2023,2,Buenos Aires,265537.0,1645945.0,304583.0,12.82,1551074.0,5.76
24,2023,3,Buenos Aires,237705.0,1740239.0,265537.0,10.48,1645945.0,5.42
0,2023,4,Buenos Aires,223391.0,1784593.0,237705.0,6.02,1740239.0,2.49
937,2014,1,Capital Federal,445569.0,17767.0,,,,
913,2014,2,Capital Federal,447637.0,17729.0,445569.0,-0.46,17767.0,-0.21
889,2014,3,Capital Federal,450155.0,17886.0,447637.0,-0.56,17729.0,0.88
865,2014,4,Capital Federal,455785.0,17155.0,450155.0,-1.25,17886.0,-4.26
841,2015,1,Capital Federal,454934.0,19334.0,455785.0,0.19,17155.0,11.27
817,2015,2,Capital Federal,453178.0,19786.0,454934.0,0.39,19334.0,2.28
793,2015,3,Capital Federal,454815.0,30974.0,453178.0,-0.36,19786.0,36.12
769,2015,4,Capital Federal,455427.0,19818.0,454815.0,-0.13,30974.0,-56.29
745,2016,1,Capital Federal,454425.0,36332.0,455427.0,0.22,19818.0,45.45
721,2016,2,Capital Federal,450644.0,36669.0,454425.0,0.83,36332.0,0.92
697,2016,3,Capital Federal,447726.0,36796.0,450644.0,0.65,36669.0,0.35
673,2016,4,Capital Federal,434835.0,38161.0,447726.0,2.88,36796.0,3.58
649,2017,1,Capital Federal,428801.0,38259.0,434835.0,1.39,38161.0,0.26
625,2017,2,Capital Federal,615262.0,38628.0,428801.0,-43.48,38259.0,0.96
601,2017,3,Capital Federal,583249.0,33481.0,615262.0,5.2,38628.0,-15.37
577,2017,4,Capital Federal,571363.0,36277.0,583249.0,2.04,33481.0,7.71
553,2018,1,Capital Federal,349995.0,35535.0,571363.0,38.74,36277.0,-2.09
529,2018,2,Capital Federal,342431.0,35610.0,349995.0,2.16,35535.0,0.21
505,2018,3,Capital Federal,334353.0,35694.0,342431.0,2.36,35610.0,0.24
481,2018,4,Capital Federal,328253.0,33042.0,334353.0,1.82,35694.0,-8.03
457,2019,1,Capital Federal,328246.0,32281.0,328253.0,0.0,33042.0,-2.36
433,2019,2,Capital Federal,309937.0,36082.0,328246.0,5.58,32281.0,10.53
409,2019,3,Capital Federal,300288.0,24900.0,309937.0,3.11,36082.0,-44.91
385,2019,4,Capital Federal,196938.0,35534.0,300288.0,34.42,24900.0,29.93
361,2020,1,Capital Federal,184494.0,38898.0,196938.0,6.32,35534.0,8.65
337,2020,2,Capital Federal,178896.0,39482.0,184494.0,3.03,38898.0,1.48
313,2020,3,Capital Federal,170375.0,39417.0,178896.0,4.76,39482.0,-0.16
289,2020,4,Capital Federal,163060.0,39890.0,170375.0,4.29,39417.0,1.19
265,2021,1,Capital Federal,159805.0,39980.0,163060.0,2.0,39890.0,0.23
241,2021,2,Capital Federal,148989.0,41318.0,159805.0,6.77,39980.0,3.24
217,2021,3,Capital Federal,142902.0,42966.0,148989.0,4.09,41318.0,3.84
193,2021,4,Capital Federal,111360.0,60005.0,142902.0,22.07,42966.0,28.4
169,2022,1,Capital Federal,102290.0,62308.0,111360.0,8.14,60005.0,3.7
145,2022,2,Capital Federal,145491.0,121506.0,102290.0,-42.23,62308.0,48.72
121,2022,3,Capital Federal,140791.0,129218.0,145491.0,3.23,121506.0,5.97
97,2022,4,Capital Federal,138753.0,138548.0,140791.0,1.45,129218.0,6.73
73,2023,1,Capital Federal,132149.0,156222.0,138753.0,4.76,138548.0,11.31
49,2023,2,Capital Federal,68348.0,136295.0,132149.0,48.28,156222.0,-14.62
25,2023,3,Capital Federal,60765.0,167428.0,68348.0,11.09,136295.0,18.59
1,2023,4,Capital Federal,58700.0,182520.0,60765.0,3.4,167428.0,8.27
