,Año,Trimestre,Provincia,+ 30 Mbps,+30 Mbps trimestre anterior,KPI aumento +30 Mbps
936,2014,1,Buenos Aires,4037.0,,
912,2014,2,Buenos Aires,4309.0,4037.0,6.31
888,2014,3,Buenos Aires,4232.0,4309.0,-1.82
864,2014,4,Buenos Aires,5406.0,4232.0,21.72
840,2015,1,Buenos Aires,5700.0,5406.0,5.16
816,2015,2,Buenos Aires,6712.0,5700.0,15.08
792,2015,3,Buenos Aires,7720.0,6712.0,13.06
768,2015,4,Buenos Aires,8179.96,7720.0,5.62
744,2016,1,Buenos Aires,9528.880000000001,8179.96,14.16
720,2016,2,Buenos Aires,11933.0,9528.880000000001,20.15
696,2016,3,Buenos Aires,13318.0,11933.0,10.4
672,2016,4,Buenos Aires,17279.0,13318.0,22.92
648,2017,1,Buenos Aires,22299.0,17279.0,22.51
624,2017,2,Buenos Aires,46178.0,22299.0,51.71
600,2017,3,Buenos Aires,108400.0,46178.0,57.4
576,2017,4,Buenos Aires,151747.0,108400.0,28.57
552,2018,1,Buenos Aires,184203.0,151747.0,17.62
528,2018,2,Buenos Aires,199589.0,184203.0,7.71
504,2018,3,Buenos Aires,237248.0,199589.0,15.87
480,2018,4,Buenos Aires,265386.0,237248.0,10.6
456,2019,1,Buenos Aires,705769.0,265386.0,62.4
432,2019,2,Buenos Aires,985767.0,705769.0,28.4
408,2019,3,Buenos Aires,1246209.0,985767.0,20.9
384,2019,4,Buenos Aires,1465133.0,1246209.0,14.94
360,2020,1,Buenos Aires,1802583.0,1465133.0,18.72
336,2020,2,Buenos Aires,1894466.0,1802583.0,4.85
312,2020,3,Buenos Aires,2085815.0,1894466.0,9.17
288,2020,4,Buenos Aires,2176242.0,2085815.0,4.16
264,2021,1,Buenos Aires,2246313.0,2176242.0,3.12
240,2021,2,Buenos Aires,2337604.0,2246313.0,3.91
216,2021,3,Buenos Aires,2482266.0,2337604.0,5.83
192,2021,4,Buenos Aires,3259793.0,2482266.0,23.85
168,2022,1,Buenos Aires,3381049.0,3259793.0,3.59
144,2022,2,Buenos Aires,3535757.0,3381049.0,4.38
120,2022,3,Buenos Aires,3618689.0,3535757.0,2.29
96,2022,4,Buenos Aires,3760109.0,3618689.0,3.76
72,2023,1,Buenos Aires,3810940.0,3760109.0,1.33
48,2023,2,Buenos Aires,3883235.0,3810940.0,1.86
24,2023,3,Buenos Aires,3951660.0,3883235.0,1.73
0,2023,4,Buenos Aires,4042646.0,3951660.0,2.25
937,2014,1,Capital Federal,6208.0,,
913,2014,2,Capital Federal,6427.0,6208.0,3.41
