,Año,Trimestre,Provincia,Accesos por cada 100 hab
0,2023,4,Buenos Aires,27.68
1,2023,4,Capital Federal,47.8
2,2023,4,Catamarca,17.46
3,2023,4,Chaco,11.85
4,2023,4,Chubut,26.04
5,2023,4,Córdoba,27.76
6,2023,4,Corrientes,13.84
7,2023,4,Entre Ríos,20.91
8,2023,4,Formosa,9.98
9,2023,4,Jujuy,14.77
10,2023,4,La Pampa,32.93
11,2023,4,La Rioja,21.35
12,2023,4,Mendoza,14.55
13,2023,4,Misiones,15.33
14,2023,4,Neuquén,23.78
15,2023,4,Río Negro,21.61
16,2023,4,Salta,13.8
17,2023,4,San Juan,12.75
18,2023,4,San Luis,29.21
19,2023,4,Santa Cruz,21.94
20,2023,4,Santa Fe,25.08
21,2023,4,Santiago Del Estero,12.18
22,2023,4,Tierra Del Fuego,32.75
23,2023,4,Tucumán,15.12
24,2023,3,Buenos Aires,27.5
25,2023,3,Capital Federal,47.6
26,2023,3,Catamarca,17.44
27,2023,3,Chaco,11.46
28,2023,3,Chubut,25.82
29,2023,3,Córdoba,27.57
30,2023,3,Corrientes,13.9
31,2023,3,Entre Ríos,20.58
32,2023,3,Formosa,9.89
33,2023,3,Jujuy,14.73
34,2023,3,La Pampa,32.62
35,2023,3,La Rioja,21.41
36,2023,3,Mendoza,14.52
37,2023,3,Misiones,15.12
38,2023,3,Neuquén,23.8
39,2023,3,Río Negro,21.04
40,2023,3,Salta,13.94
41,2023,3,San Juan,12.85
42,2023,3,San Luis,28.2
43,2023,3,Santa Cruz,12.17
44,2023,3,Santa Fe,24.87
45,2023,3,Santiago Del Estero,12.08
46,2023,3,Tierra Del Fuego,31.41
47,2023,3,Tucumán,15.17
48,2023,2,Buenos Aires,27.1
49,2023,2,Capital Federal,47.27
50,2023,2,Catamarca,17.15
51,2023,2,Chaco,11.46
52,2023,2,Chubut,25.28
53,2023,2,Córdoba,27.59
54,2023,2,Corrientes,13.79
55,2023,2,Entre Ríos,19.26
56,2023,2,Formosa,9.75
57,2023,2,Jujuy,14.78
58,2023,2,La Pampa,32.4
59,2023,2,La Rioja,21.3
60,2023,2,Mendoza,14.54
61,2023,2,Misiones,15.03
62,2023,2,Neuquén,23.5
63,2023,2,Río Negro,21.09
64,2023,2,Salta,13.92
65,2023,2,San Juan,12.1
66,2023,2,San Luis,26.73
67,2023,2,Santa Cruz,12.39
68,2023,2,Santa Fe,24.79
69,2023,2,Santiago Del Estero,11.7
70,2023,2,Tierra Del Fuego,31.54
71,2023,2,Tucumán,15.05
72,2023,1,Buenos Aires,26.81
73,2023,1,Capital Federal,50.23
74,2023,1,Catamarca,16.83
75,2023,1,Chaco,11.53
76,2023,1,Chubut,26.32
77,2023,1,Córdoba,27.2
78,2023,1,Corrientes,13.71
79,2023,1,Entre Ríos,19.37
80,2023,1,Formosa,9.87
81,2023,1,Jujuy,14.88
82,2023,1,La Pampa,31.81
83,2023,1,La Rioja,21.23
84,2023,1,Mendoza,14.34
85,2023,1,Misiones,14.7
86,2023,1,Neuquén,23.38
87,2023,1,Río Negro,21.27
88,2023,1,Salta,13.97
89,2023,1,San Juan,12.67
90,2023,1,San Luis,25.8
91,2023,1,Santa Cruz,12.92
92,2023,1,Santa Fe,24.57
93,2023,1,Santiago Del Estero,11.8
94,2023,1,Tierra Del Fuego,30.9
95,2023,1,Tucumán,14.95
96,2022,4,Buenos Aires,26.72
97,2022,4,Capital Federal,50.35
98,2022,4,Catamarca,16.73
99,2022,4,Chaco,11.66
100,2022,4,Chubut,26.23
101,2022,4,Córdoba,27.26
102,2022,4,Corrientes,13.6
103,2022,4,Entre Ríos,19.14
